artist,author,gernes,heart,name,star,view,words
keepout,Takayama Liz,"Action,Comedy,Fantasy,Slice of Life", 459 ,Isekai yakkyoku,4.9,91859,59697
Mahaya,Nakanomura Ayasuke,"Action,Adventure,Fantasy,Harem,Romance,Supernatural", 194 ,Kanna no Kanna,2.8,26964,2558
Haruaki Fuyuno,Kei Sazane,"Action,Fantasy,Harem", 365 ,Sekai no Owari no Encore,4.7,62450,92600
Fukahire,Amano Seiju,"Action,Fantasy,School Life,Shoujo,Super Power,Web Novel", 267 ,10 sai no Saikyou Madoushi,4.7,38538,12583
中壱,Pai-chan,"Action,Adventure,Comedy,Fantasy,Romance", 160 ,"Bandit, Be Ambitious! To Accomplish Kingdom Revival!",5,15271,4968
癸 青龍,Tenkai 天界,"Adventure,Comedy,Fantasy,Gender Bender,Slice of Life,Web Novel", 119 ,Nigotta Hitomi no Lilianne,4.7,24307,13081
Misaki Kurehito,Maruto Fumiaki,"Comedy,Harem,Romance,Drama,Ecchi,School Life", 301 ,Saenai Kanojo no Sodatekata,5,95264,81204
N/A,Hondou Yuuki - 本堂ゆうき,"Action,Adventure,Comedy,Ecchi,Fantasy,Harem,Romance,Shounen", 262 ,Young God Divine Armaments,3.7,31258,25937
None,Aska,"Adventure,Comedy,Fantasy,Slice of Life", 63 ,That One Time the Essay a Child Wrote over Summer Break was Way too Fantasy(Short Story),5,14904,5189
None,Ikkuiku,"Action,Adventure,Comedy,Fantasy,Harem,Isekai,Mystery, Romance,Shounen", 144 ,Monster Musume Harem wo Tsukurou!,5,18872,10012
None,Lazy Cat Drawing,Comedy, 26 ,The Tale of the Death of a Cockroach (Oneshot),4.6,14615,1837
Kodama Yuu,Sorano Kazuki,"Comedy,Fantasy,Harem,Romance,School Life,Shounen,Slice of Life", 312 ,Chou! Isekai Gakkyuu!!,5,30219,12739
Saori Toyota,Takaya Kagami,"Action,Adventure,Fantasy,Shounen", 181 ,Dai Densetsu no Yuusha no Densetsu,5,56560,241143
N/A,Hondou Yuuki - 本堂ゆうき,"Action,Adventure,Comedy,Ecchi,Fantasy,Harem,Romance,Shounen", 218 ,Young God Divine Armaments,5,27585,14462
Saori Toyota,Takaya Kagami,"Action,Adventure,Fantasy,Shounen", 123 ,Densetsu no Yuusha no Densetsu,4.3,29799,38255
Miyama-Zero,Ichiei Ishibumi,"Action,Comedy,Ecchi,Fantasy,Harem,School Life,Supernatural,Romance", 334 ,High School DxD,4.4,245449,928524
Nardack,Bingo Morihashi,"Drama,Romance", 237 ,Shinonome Yuuko,5,39560,62300
Youta,Namekojirushi,"Ecchi,Fantasy,Harem,Isekai,School Life,Shounen", 244 ,Ore to Kanojo ga Geboku de Dorei de Shuujuu Keiyaku,4.6,26954,23256
